text
Sensitive and smooth
"Play Video
 Not work to smoth"
Not working well in iphone 13 pro max
Great for BR and Multiplayer gaming experience
"Great innovation, smooth handling!!!"
Touch and button not good
I bought it and never use it because it fit on my S22 ultra but not able to use it.. how stupid it is.. 🤮
Bakwas hai ye bhut costly hai usse aacha aapne figure hai . . . . . . . . .
